id,video,url,width,height,fps,note
1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,https://www.youtube.com/watch?v=O669aZhH0LI,1920,1080,25,
2,CHEN_Long_CHOU_Tien_Chen_World_Tour_Finals_Group_Stage,https://www.youtube.com/watch?v=-aOI9_JxoWc,1920,1080,25,
3,Kento_MOMOTA_CHOU_Tien_Chen_KOREA_OPEN_2019_Final,https://www.youtube.com/watch?v=eugfCRwSBJo,1920,1080,25,
4,CHEN_Long_CHOU_Tien_Chen_Denmark_Open_2019_QuarterFinal,https://www.youtube.com/watch?v=y6QbtrTV-K0,1920,1080,25,
5,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2018_Finals,https://www.youtube.com/watch?v=xhUi2KpmVkI,1920,1080,25,
6,Kento_MOMOTA_CHOU_Tien_Chen_Denmark_Open_2018_Finals,https://www.youtube.com/watch?v=SYyvDrUgClc,1920,1080,25,
7,Kento_MOMOTA_CHOU_Tien_Chen_Malaysia_Open_2018_QuarterFinals,https://www.youtube.com/watch?v=Y0tCJ6DWXKM,1920,1080,25,
8,CHOU_Tien_Chen_Anders_ANTONSEN_Fuzhou_Open_2019_Semi-finals,https://www.youtube.com/watch?v=32j2Tg64Zbg,1920,1080,25,
9,CHOU_Tien_Chen_Jonatan_CHRISTIE_Sudirman_Cup_2019_Quarter-finals,https://www.youtube.com/watch?v=8E98Gpk-fOM,,,,excluded: whole labeling incorrect
10,CHOU_Tien_Chen_NG_Ka_Long_Angus_Sudirman_Cup_2019_Group_Stage,https://www.youtube.com/watch?v=li1sbr6S34g,,,,excluded: whole labeling incorrect
11,CHOU_Tien_Chen_Jonatan_CHRISTIE_Indonesia_Open_2019_Quarter-finals,https://www.youtube.com/watch?v=yD6WKVqsAKc,1920,1080,25,
12,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,https://www.youtube.com/watch?v=maLGQ7fjCt4,,,,excluded: all frame numbers incorrect
13,Kento_MOMOTA_Viktor_AXELSEN_Malaysia_Masters_2020_Finals,https://www.youtube.com/watch?v=boQC4J4E1ZQ,1920,1080,25,
14,Anders_ANTONSEN_Jonatan_CHRISTIE Indonesia_Masters_2020_QuarterFinals,https://www.youtube.com/watch?v=5W6txLGZ1Rs,1920,1080,25,
15,Anthony_Sinisuka_GINTING_Anders_ANTONSEN_Indonesia_Masters_2020_Final,https://www.youtube.com/watch?v=yu9oyMXRGHY,1920,1080,25,
16,Anthony_Sinisuka_GINTING_Viktor_AXELSEN_Indonesia_Masters_2020_SemiFinals,https://www.youtube.com/watch?v=5kS_a7vS5xI,1920,1080,25,
17,NG_Ka_Long_Angus_Jonatan_CHRISTIE_Malaysia_Masters_2020_QuarterFinals,https://www.youtube.com/watch?v=G9r400zkkz8,1920,1080,25,
18,Viktor_AXELSEN_SHI_Yu_Qi_All_England_Open_2020_QuarterFinals,https://www.youtube.com/watch?v=8lHAsyRhYYQ,1920,1080,25,
19,Viktor_AXELSEN_CHEN_Long_Malaysia_Masters_2020_QuarterFinals,https://www.youtube.com/watch?v=YmW83aQFADg,1920,1080,25,
20,Viktor_AXELSEN_NG_Ka_Long_Angus_Malaysia_Masters_2020_SemiFinals,https://www.youtube.com/watch?v=4e3JJ4rvT3Q,1920,1080,25,
21,An_Se_Young_Ratchanok_Intanon_YONEX_Thailand_Open_2021_QuarterFinals,https://www.youtube.com/watch?v=gloiZ_gTJaE,1920,1080,30,
22,Mia_Blichfeldt_Busanan_Ongbamrungphan_YONEX_Thailand_Open_2021_QuarterFinals,https://www.youtube.com/watch?v=8u_UHCnYSkk,1920,1080,30,
23,Ng_Ka_Long_Angus_Lee_Cheuk_Yiu_YONEX_Thailand_Open_2021_QuarterFinals,https://www.youtube.com/watch?v=rSK9Qx8LapE,1920,1080,30,
24,Anthony_Sinisuka_Ginting_Rasmus_Gemke_YONEX_Thailand_Open_2021_QuarterFinals,https://www.youtube.com/watch?v=NlDrJyQUTSI,1920,1080,30,
25,Carolina_Marin_Supanida_Katethong_YONEX_Thailand_Open_2021_QuarterFinals,https://www.youtube.com/watch?v=FZPrpoGdyHI,1920,1080,30,
26,Viktor_Axelsen_Jonatan_Christie_YONEX_Thailand_Open_2021_QuarterFinals,https://www.youtube.com/watch?v=RRI_k2KZgOM,1920,1080,30,
27,Viktor_Axelsen_Anthony_Sinisuka_Ginting_YONEX_Thailand_Open_2021_SemiFinals,https://www.youtube.com/watch?v=HTBf9wFL0mk,,,,excluded: video removed
28,Viktor_Axelsen_Ng_Ka_Long_Angus_YONEX_Thailand_Open_2021_Finals,https://www.youtube.com/watch?v=IuXmsimDOW8,1920,1080,30,
29,An_Se_Young_Pornpawee_Chochuwong_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,https://www.youtube.com/watch?v=TXT-qlniM90,1920,1080,30,
30,Anders_Antonsen_Sameer_Verma_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,https://www.youtube.com/watch?v=YP8YlZkrQq8,1920,1080,30,
31,Carolina_Marin_Neslihan_Yigit_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,https://www.youtube.com/watch?v=gJ_KHu0EC6I,1920,1080,30,
32,Hans-Kristian_Solberg_Vittinghus_Lee_Cheuk_Yu_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,https://www.youtube.com/watch?v=ROAnTfC_8zA,1920,1080,30,
33,Viktor_Axelsen_Liew_Daren_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,https://www.youtube.com/watch?v=OzRtd3D0hEo,1920,1080,30,
34,Ratchanok_Intanon_Pusarla_V._Sindhu_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,https://www.youtube.com/watch?v=o51ingUOU20,1920,1080,30,
35,Carolina_Marin_An_Se_Young_TOYOTA_THAILAND_OPEN_2021_SemiFinals,https://www.youtube.com/watch?v=XmJ-OdVFQtk,1920,1080,30,
36,Hans-Kristian_Solberg_Vittinghus_Anders_Antonsen_TOYOTA_THAILAND_OPEN_2021_SemiFinals,https://www.youtube.com/watch?v=D27aAZvuRTw,1920,1080,30,
37,Viktor_Axelsen_Hans_Kristian_Solberg_VIittinghus_TOYOTA_THAILAND_OPEN_2021_Finals,https://www.youtube.com/watch?v=4rQUHv9oGpI,1920,1080,30,
38,Carolina_Marin_An_Se_Young_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,https://www.youtube.com/watch?v=OH6dnTXhZy4,1920,1080,30,
39,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,https://www.youtube.com/watch?v=XYY6YXv6Nss,1920,1080,30,
40,Evgeniya_Kosetskaya_Michelle_Li_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,https://www.youtube.com/watch?v=IDSr0z5f52k,1920,1080,30,
41,Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,https://www.youtube.com/watch?v=yr2JQTdzNjY,1920,1080,30,
42,Pusarla_V._Sindhu_Pornpawee_Chochuwong_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,https://www.youtube.com/watch?v=Mawo3l3Hb9E,1920,1080,30,
43,Carolina_Marin_Pornpawee_Chochuwong_HSBC_BWF_WORLD_TOUR_FINALS_2020_SemiFinals,https://www.youtube.com/watch?v=vfzkc3lFTdM,1920,1080,30,
44,Anders_Antonsen_Viktor_Axelsen_HSBC_BWF_WORLD_TOUR_FINALS_2020_Finals,https://www.youtube.com/watch?v=j7_cjmJDYNU,1920,1080,30,
